country_area_id,indicator_id,CountryCode,SeriesCode,year,Indicator_Value
91,1,300,648,1990,100
91,1,300,779,1990,3948654
91,1,300,755,1990,38.86
91,1,300,611,1990,1
91,1,300,613,1990,0.98
91,1,300,614,1990,1.03
91,1,300,562,1990,11.3
91,1,300,809,1990,0.1
91,1,300,786,1990,0.4
91,1,300,785,1990,495
91,1,300,553,1990,5
91,1,300,811,1990,4
91,1,300,810,1990,6
91,1,300,567,1990,25.6
91,1,300,760,1990,42
91,1,300,772,1990,39.7
91,1,300,773,1990,46.1
91,1,300,667,1990,93
91,1,300,665,1990,98
91,1,300,666,1990,100
91,1,300,670,1990,83
91,1,300,668,1990,93
91,1,300,669,1990,96
91,1,300,768,1990,10.3
91,1,300,699,1990,0.38
91,1,300,671,1990,5.3
91,1,300,672,1990,5.4
91,1,300,673,1990,4.4
91,1,300,659,1990,280
91,1,300,660,1990,20
91,1,300,557,1990,6.7
91,1,300,722,1990,35
91,1,300,674,1990,45.3
91,1,300,675,1990,40.9
91,1,300,676,1990,48
91,1,300,677,1990,9.2
91,1,300,678,1990,6.6
91,1,300,679,1990,11.5
91,1,300,616,1990,2.14
91,2,300,761,1990,19.8
91,2,300,788,1990,0.3468
91,2,300,776,1990,0.38
91,2,300,751,1990,7.3105
91,2,300,752,1990,8.2
91,2,300,749,1990,74278.8
91,2,300,750,1990,82997.8
91,2,300,563,1990,76
91,2,300,561,1990,12.5
91,2,300,758,1990,46.4
91,2,300,770,1990,63
91,2,300,771,1990,31.3
91,2,300,648,1990,100
91,2,300,779,1990,3948654
91,2,300,755,1990,38.86
91,2,300,611,1990,1
91,2,300,613,1990,0.98
91,2,300,614,1990,1.03
91,2,300,562,1990,11.3
91,2,300,809,1990,0.1
91,2,300,786,1990,0.4
91,2,300,785,1990,495
91,2,300,553,1990,5
91,2,300,811,1990,4
91,2,300,810,1990,6
91,2,300,567,1990,25.6
91,2,300,760,1990,42
91,2,300,772,1990,39.7
91,2,300,773,1990,46.1
91,2,300,667,1990,93
91,2,300,665,1990,98
91,2,300,666,1990,100
91,2,300,670,1990,83
91,2,300,668,1990,93
91,2,300,669,1990,96
91,2,300,768,1990,10.3
91,2,300,699,1990,0.38
91,2,300,671,1990,5.3
91,2,300,672,1990,5.4
91,2,300,673,1990,4.4
91,2,300,659,1990,280
91,2,300,660,1990,20
91,2,300,557,1990,6.7
91,2,300,722,1990,35
91,2,300,674,1990,45.3
91,2,300,675,1990,40.9
91,2,300,676,1990,48
91,2,300,677,1990,9.2
91,2,300,678,1990,6.6
91,2,300,679,1990,11.5
91,2,300,616,1990,2.14
91,3,300,761,1990,19.8
91,3,300,788,1990,0.3468
91,3,300,776,1990,0.38
91,3,300,751,1990,7.3105
91,3,300,752,1990,8.2
91,3,300,749,1990,74278.8
91,3,300,750,1990,82997.8
91,3,300,563,1990,76
91,3,300,561,1990,12.5
91,3,300,758,1990,46.4
91,3,300,770,1990,63
91,3,300,771,1990,31.3
91,3,300,648,1990,100
91,3,300,779,1990,3948654
91,3,300,755,1990,38.86
91,3,300,611,1990,1
91,3,300,613,1990,0.98
91,3,300,614,1990,1.03
91,3,300,562,1990,11.3
91,3,300,809,1990,0.1
91,3,300,786,1990,0.4
91,3,300,785,1990,495
91,3,300,553,1990,5
