country_area_id,indicator_id,CountryCode,SeriesCode,year,Indicator_Value
177,5,630,785,1990,304
177,5,630,553,1990,26
177,5,630,811,1990,23
177,5,630,810,1990,30
177,5,630,780,1990,20369
177,5,630,756,1990,0.58
177,5,630,567,1990,32.4
177,5,630,667,1990,94
177,5,630,665,1990,94
177,5,630,666,1990,94
177,5,630,670,1990,99
177,5,630,668,1990,99
177,5,630,669,1990,99
177,5,630,768,1990,11.2
177,5,630,671,1990,2.6
177,5,630,672,1990,2.3
177,5,630,673,1990,3.2
177,5,630,722,1990,46.5
177,5,630,674,1990,32.9
177,5,630,675,1990,31.3
177,5,630,676,1990,37.2
177,5,630,677,1990,10
177,5,630,678,1990,14.3
177,5,630,679,1990,6
177,5,630,616,1990,0.56
177,6,630,761,1990,75.7
177,6,630,758,1990,41.4
177,6,630,770,1990,55.1
177,6,630,771,1990,29.6
177,6,630,779,1990,982187
177,6,630,755,1990,27.92
177,6,630,656,1990,93.2
177,6,630,657,1990,92.2
177,6,630,658,1990,94.1
177,6,630,809,1990,0.1
177,6,630,786,1990,1.7
177,6,630,785,1990,304
177,6,630,553,1990,26
177,6,630,811,1990,23
177,6,630,810,1990,30
177,6,630,780,1990,20369
177,6,630,756,1990,0.58
177,6,630,567,1990,32.4
177,6,630,667,1990,94
177,6,630,665,1990,94
177,6,630,666,1990,94
177,6,630,670,1990,99
177,6,630,668,1990,99
177,6,630,669,1990,99
177,6,630,768,1990,11.2
177,6,630,671,1990,2.6
177,6,630,672,1990,2.3
177,6,630,673,1990,3.2
177,6,630,722,1990,46.5
177,6,630,674,1990,32.9
177,6,630,675,1990,31.3
177,6,630,676,1990,37.2
177,6,630,677,1990,10
177,6,630,678,1990,14.3
177,6,630,679,1990,6
177,6,630,616,1990,0.56
178,4,634,761,1990,54.2
178,4,634,751,1990,24.71
178,4,634,749,1990,11774.7
178,4,634,563,1990,79
178,4,634,561,1990,20.8
178,4,634,779,1990,92071
178,4,634,755,1990,19.32
178,4,634,611,1990,0.94
178,4,634,613,1990,1.28
178,4,634,614,1990,3.61
178,4,634,562,1990,17.7
178,4,634,553,1990,29
178,4,634,811,1990,18
178,4,634,810,1990,43
178,4,634,780,1990,3811
178,4,634,756,1990,0.8
178,4,634,743,1990,73
178,4,634,744,1990,71
178,4,634,745,1990,75.2
178,4,634,670,1990,100
178,4,634,668,1990,100
178,4,634,669,1990,100
178,4,634,699,1990,3.44
178,4,634,616,1990,0.46
178,5,634,761,1990,54.2
178,5,634,751,1990,24.71
178,5,634,749,1990,11774.7
178,5,634,563,1990,79
178,5,634,561,1990,20.8
178,5,634,779,1990,92071
178,5,634,755,1990,19.32
178,5,634,611,1990,0.94
178,5,634,613,1990,1.28
178,5,634,614,1990,3.61
178,5,634,562,1990,17.7
178,5,634,553,1990,29
178,5,634,811,1990,18
178,5,634,810,1990,43
178,5,634,780,1990,3811
178,5,634,756,1990,0.8
178,5,634,743,1990,73
178,5,634,744,1990,71
178,5,634,745,1990,75.2
178,5,634,670,1990,100
178,5,634,668,1990,100
178,5,634,669,1990,100
178,5,634,699,1990,3.44
178,5,634,616,1990,0.46
178,6,634,761,1990,54.2
178,6,634,751,1990,24.71
178,6,634,749,1990,11774.7
178,6,634,563,1990,79
178,6,634,561,1990,20.8
178,6,634,779,1990,92071
178,6,634,755,1990,19.32
178,6,634,611,1990,0.94
178,6,634,613,1990,1.28
178,6,634,614,1990,3.61
178,6,634,562,1990,17.7
178,6,634,553,1990,29
178,6,634,811,1990,18
178,6,634,810,1990,43
178,6,634,780,1990,3811
178,6,634,756,1990,0.8
178,6,634,743,1990,73
178,6,634,744,1990,71
178,6,634,745,1990,75.2
178,6,634,670,1990,100
178,6,634,668,1990,100
178,6,634,669,1990,100
178,6,634,699,1990,3.44
178,6,634,616,1990,0.46
180,4,498,761,1990,57.4
