country_area_id,indicator_id,CountryCode,SeriesCode,year,Indicator_Value
14,3,36,729,1990,0.14
14,3,36,799,1990,0.1
14,3,36,800,1990,0.2
14,3,36,567,1990,20.1
14,3,36,760,1990,10.3
14,3,36,772,1990,11.6
14,3,36,773,1990,8.5
14,3,36,667,1990,100
14,3,36,665,1990,100
14,3,36,666,1990,100
14,3,36,670,1990,100
14,3,36,668,1990,100
14,3,36,669,1990,100
14,3,36,699,1990,1.38
14,3,36,671,1990,2.5
14,3,36,672,1990,2.6
14,3,36,673,1990,2.5
14,3,36,659,1990,139
14,3,36,660,1990,9
14,3,36,557,1990,6.1
14,3,36,722,1990,43.7
14,3,36,674,1990,43.9
14,3,36,675,1990,41.5
14,3,36,676,1990,47
14,3,36,677,1990,9.4
14,3,36,678,1990,10
14,3,36,679,1990,8.8
14,3,36,616,1990,6.64
15,1,40,761,1990,21.3
15,1,40,788,1990,0.2421
15,1,40,776,1990,0.26
15,1,40,751,1990,7.5257
15,1,40,752,1990,8.1
15,1,40,749,1990,57722.2
15,1,40,750,1990,62017.7
15,1,40,563,1990,60
15,1,40,561,1990,9.5
15,1,40,753,1990,2004.4
15,1,40,649,1990,1801.9
15,1,40,758,1990,53.6
15,1,40,770,1990,67.4
15,1,40,771,1990,41.4
15,1,40,648,1990,104
15,1,40,779,1990,3223161
15,1,40,755,1990,42.02
15,1,40,611,1990,1
15,1,40,613,1990,0.91
15,1,40,614,1990,0.88
15,1,40,562,1990,8
15,1,40,605,1990,0.13
15,1,40,553,1990,8
15,1,40,811,1990,7
15,1,40,810,1990,10
15,1,40,780,1990,73698
15,1,40,756,1990,0.96
15,1,40,568,1990,0.11
15,1,40,650,1990,0.06
15,1,40,651,1990,102.07
15,1,40,569,1990,168.06
15,1,40,598,1990,79.4
15,1,40,599,1990,32.1
15,1,40,567,1990,45.8
15,1,40,667,1990,100
15,1,40,665,1990,100
15,1,40,666,1990,100
15,1,40,670,1990,100
15,1,40,668,1990,100
15,1,40,669,1990,100
15,1,40,768,1990,4.9
15,1,40,699,1990,0.94
15,1,40,671,1990,1.2
15,1,40,672,1990,1.3
15,1,40,673,1990,1.1
15,1,40,659,1990,162
15,1,40,660,1990,21
15,1,40,557,1990,11.5
15,1,40,722,1990,41.5
15,1,40,674,1990,24.4
15,1,40,675,1990,24
15,1,40,676,1990,24.9
15,1,40,677,1990,2.4
15,1,40,678,1990,2.5
15,1,40,679,1990,2.3
15,1,40,616,1990,19.18
15,2,40,761,1990,21.3
15,2,40,788,1990,0.2421
15,2,40,776,1990,0.26
15,2,40,751,1990,7.5257
15,2,40,752,1990,8.1
15,2,40,749,1990,57722.2
15,2,40,750,1990,62017.7
15,2,40,563,1990,60
15,2,40,561,1990,9.5
15,2,40,753,1990,2004.4
15,2,40,649,1990,1801.9
15,2,40,758,1990,53.6
15,2,40,770,1990,67.4
15,2,40,771,1990,41.4
15,2,40,648,1990,104
15,2,40,779,1990,3223161
15,2,40,755,1990,42.02
15,2,40,611,1990,1
15,2,40,613,1990,0.91
15,2,40,614,1990,0.88
15,2,40,562,1990,8
15,2,40,605,1990,0.13
15,2,40,553,1990,8
15,2,40,811,1990,7
15,2,40,810,1990,10
15,2,40,780,1990,73698
15,2,40,756,1990,0.96
15,2,40,568,1990,0.11
15,2,40,650,1990,0.06
15,2,40,651,1990,102.07
15,2,40,569,1990,168.06
15,2,40,598,1990,79.4
15,2,40,599,1990,32.1
15,2,40,567,1990,45.8
15,2,40,667,1990,100
15,2,40,665,1990,100
15,2,40,666,1990,100
15,2,40,670,1990,100
15,2,40,668,1990,100
15,2,40,669,1990,100
15,2,40,768,1990,4.9
15,2,40,699,1990,0.94
15,2,40,671,1990,1.2
15,2,40,672,1990,1.3
15,2,40,673,1990,1.1
15,2,40,659,1990,162
15,2,40,660,1990,21
15,2,40,557,1990,11.5
15,2,40,722,1990,41.5
15,2,40,674,1990,24.4
15,2,40,675,1990,24
15,2,40,676,1990,24.9
15,2,40,677,1990,2.4
15,2,40,678,1990,2.5
15,2,40,679,1990,2.3
15,2,40,616,1990,19.18
15,3,40,761,1990,21.3
15,3,40,788,1990,0.2421
15,3,40,776,1990,0.26
15,3,40,751,1990,7.5257
15,3,40,752,1990,8.1
15,3,40,749,1990,57722.2
15,3,40,750,1990,62017.7
15,3,40,563,1990,60
15,3,40,561,1990,9.5
15,3,40,753,1990,2004.4
15,3,40,649,1990,1801.9
15,3,40,758,1990,53.6
15,3,40,770,1990,67.4
15,3,40,771,1990,41.4
15,3,40,648,1990,104
15,3,40,779,1990,3223161
15,3,40,755,1990,42.02
15,3,40,611,1990,1
15,3,40,613,1990,0.91
15,3,40,614,1990,0.88
15,3,40,562,1990,8
15,3,40,605,1990,0.13
15,3,40,553,1990,8
15,3,40,811,1990,7
15,3,40,810,1990,10
15,3,40,780,1990,73698
15,3,40,756,1990,0.96
15,3,40,568,1990,0.11
15,3,40,650,1990,0.06
15,3,40,651,1990,102.07
15,3,40,569,1990,168.06
15,3,40,598,1990,79.4
15,3,40,599,1990,32.1
15,3,40,567,1990,45.8
15,3,40,667,1990,100
15,3,40,665,1990,100
15,3,40,666,1990,100
15,3,40,670,1990,100
15,3,40,668,1990,100
15,3,40,669,1990,100
15,3,40,768,1990,4.9
15,3,40,699,1990,0.94
15,3,40,671,1990,1.2
15,3,40,672,1990,1.3
15,3,40,673,1990,1.1
15,3,40,659,1990,162
15,3,40,660,1990,21
15,3,40,557,1990,11.5
15,3,40,722,1990,41.5
15,3,40,674,1990,24.4
15,3,40,675,1990,24
15,3,40,676,1990,24.9
15,3,40,677,1990,2.4
15,3,40,678,1990,2.5
15,3,40,679,1990,2.3
15,3,40,616,1990,19.18
16,1,31,761,1990,25.6
16,1,31,579,1990,0.4543
16,1,31,797,1990,0.0369
16,1,31,798,1990,1
16,1,31,570,1990,97.3
16,1,31,561,1990,94.5
16,1,31,648,1990,372
16,1,31,779,1990,620000
16,1,31,755,1990,8.59
16,1,31,562,1990,75.4
16,1,31,553,1990,64
16,1,31,811,1990,56
16,1,31,810,1990,74
16,1,31,567,1990,11.3
16,1,31,667,1990,50
16,1,31,665,1990,69
16,1,31,666,1990,85
16,1,31,616,1990,5.19
16,2,31,761,1990,25.6
16,2,31,579,1990,0.4543
16,2,31,797,1990,0.0369
16,2,31,798,1990,1
16,2,31,570,1990,97.3
16,2,31,561,1990,94.5
16,2,31,648,1990,372
16,2,31,779,1990,620000
16,2,31,755,1990,8.59
16,2,31,562,1990,75.4
16,2,31,553,1990,64
16,2,31,811,1990,56
16,2,31,810,1990,74
16,2,31,567,1990,11.3
16,2,31,667,1990,50
16,2,31,665,1990,69
16,2,31,666,1990,85
16,2,31,616,1990,5.19
16,3,31,761,1990,25.6
16,3,31,579,1990,0.4543
16,3,31,797,1990,0.0369
16,3,31,798,1990,1
16,3,31,570,1990,97.3
16,3,31,561,1990,94.5
16,3,31,648,1990,372
16,3,31,779,1990,620000
16,3,31,755,1990,8.59
16,3,31,562,1990,75.4
16,3,31,553,1990,64
16,3,31,811,1990,56
16,3,31,810,1990,74
16,3,31,567,1990,11.3
16,3,31,667,1990,50
16,3,31,665,1990,69
16,3,31,666,1990,85
16,3,31,616,1990,5.19
17,1,44,761,1990,69.9
17,1,44,579,1990,121
17,1,44,797,1990,84
17,1,44,798,1990,177
17,1,44,570,1990,99
17,1,44,788,1990,0.3134
17,1,44,751,1990,7.6104
17,1,44,749,1990,1950.8
17,1,44,563,1990,86
17,1,44,561,1990,23.5
17,1,44,648,1990,104
17,1,44,779,1990,69872
17,1,44,755,1990,27.26
17,1,44,562,1990,19.6
17,1,44,809,1990,0.1
17,1,44,786,1990,0.2
17,1,44,785,1990,594
17,1,44,553,1990,46
17,1,44,811,1990,34
17,1,44,810,1990,61
17,1,44,780,1990,1922
17,1,44,756,1990,0.75
17,1,44,653,1990,0.09
17,1,44,639,1990,3.15
17,1,44,729,1990,1.96
17,1,44,799,1990,1.56
17,1,44,800,1990,2.48
17,1,44,567,1990,51.4
17,1,44,699,1990,0.94
17,1,44,671,1990,3.4
17,1,44,672,1990,2.6
17,1,44,673,1990,4.6
17,1,44,659,1990,47
17,1,44,660,1990,2
17,1,44,557,1990,4.1
17,1,44,674,1990,52.3
17,1,44,675,1990,46
17,1,44,676,1990,59.3
17,1,44,677,1990,9.6
17,1,44,678,1990,8.9
17,1,44,679,1990,10.2
17,1,44,616,1990,0.22
17,2,44,761,1990,69.9
17,2,44,579,1990,121
17,2,44,797,1990,84
17,2,44,798,1990,177
17,2,44,570,1990,99
17,2,44,788,1990,0.3134
17,2,44,751,1990,7.6104
17,2,44,749,1990,1950.8
17,2,44,563,1990,86
17,2,44,561,1990,23.5
17,2,44,648,1990,104
17,2,44,779,1990,69872
17,2,44,755,1990,27.26
17,2,44,562,1990,19.6
17,2,44,809,1990,0.1
17,2,44,786,1990,0.2
17,2,44,785,1990,594
17,2,44,553,1990,46
17,2,44,811,1990,34
17,2,44,810,1990,61
17,2,44,780,1990,1922
17,2,44,756,1990,0.75
17,2,44,653,1990,0.09
17,2,44,639,1990,3.15
17,2,44,729,1990,1.96
17,2,44,799,1990,1.56
17,2,44,800,1990,2.48
17,2,44,567,1990,51.4
17,2,44,699,1990,0.94
17,2,44,671,1990,3.4
17,2,44,672,1990,2.6
17,2,44,673,1990,4.6
17,2,44,659,1990,47
17,2,44,660,1990,2
17,2,44,557,1990,4.1
17,2,44,674,1990,52.3
17,2,44,675,1990,46
17,2,44,676,1990,59.3
17,2,44,677,1990,9.6
17,2,44,678,1990,8.9
17,2,44,679,1990,10.2
17,2,44,616,1990,0.22
17,3,44,761,1990,69.9
17,3,44,579,1990,121
17,3,44,797,1990,84
17,3,44,798,1990,177
17,3,44,570,1990,99
17,3,44,788,1990,0.3134
17,3,44,751,1990,7.6104
17,3,44,749,1990,1950.8
17,3,44,563,1990,86
17,3,44,561,1990,23.5
17,3,44,648,1990,104
17,3,44,779,1990,69872
17,3,44,755,1990,27.26
17,3,44,562,1990,19.6
17,3,44,809,1990,0.1
17,3,44,786,1990,0.2
17,3,44,785,1990,594
17,3,44,553,1990,46
17,3,44,811,1990,34
17,3,44,810,1990,61
17,3,44,780,1990,1922
17,3,44,756,1990,0.75
17,3,44,653,1990,0.09
17,3,44,639,1990,3.15
17,3,44,729,1990,1.96
17,3,44,799,1990,1.56
17,3,44,800,1990,2.48
17,3,44,567,1990,51.4
17,3,44,699,1990,0.94
17,3,44,671,1990,3.4
17,3,44,672,1990,2.6
17,3,44,673,1990,4.6
17,3,44,659,1990,47
17,3,44,660,1990,2
17,3,44,557,1990,4.1
17,3,44,674,1990,52.3
17,3,44,675,1990,46
17,3,44,676,1990,59.3
17,3,44,677,1990,9.6
17,3,44,678,1990,8.9
17,3,44,679,1990,10.2
17,3,44,616,1990,0.22
18,1,48,761,1990,22.4
18,1,48,788,1990,0.7215
18,1,48,751,1990,25.5388
18,1,48,749,1990,12665.8
18,1,48,563,1990,87
18,1,48,561,1990,23
