country_area_id,indicator_id,CountryCode,SeriesCode,year,Indicator_Value
11,5,32,797,1990,286
11,5,32,798,1990,1575
11,5,32,751,1990,3.4518
11,5,32,749,1990,112613.6
11,5,32,563,1990,93
11,5,32,561,1990,27.6
11,5,32,753,1990,1514.5
11,5,32,649,1990,2138.2
11,5,32,655,1990,34.9
11,5,32,779,1990,3026732
11,5,32,755,1990,9.28
11,5,32,611,1990,0.99
11,5,32,803,1990,0.01
11,5,32,801,1990,0.02
11,5,32,802,1990,0.03
11,5,32,562,1990,24.4
11,5,32,809,1990,0.4
11,5,32,786,1990,2.7
11,5,32,785,1990,3905
11,5,32,553,1990,72
11,5,32,811,1990,64
11,5,32,810,1990,80
11,5,32,780,1990,12000
11,5,32,756,1990,0.04
11,5,32,567,1990,12.7
11,5,32,667,1990,69
11,5,32,665,1990,94
11,5,32,666,1990,98
11,5,32,670,1990,70
11,5,32,668,1990,87
11,5,32,669,1990,90
11,5,32,699,1990,0.31
11,5,32,659,1990,238
11,5,32,660,1990,16
11,5,32,557,1990,6.3
11,5,32,722,1990,37.1
11,5,32,710,1990,30.5
11,5,32,711,1990,8621.6
11,5,32,616,1990,3.25
11,6,32,761,1990,68.3
11,6,32,579,1990,733
11,6,32,797,1990,286
11,6,32,798,1990,1575
11,6,32,751,1990,3.4518
11,6,32,749,1990,112613.6
11,6,32,563,1990,93
11,6,32,561,1990,27.6
11,6,32,753,1990,1514.5
11,6,32,649,1990,2138.2
11,6,32,655,1990,34.9
11,6,32,779,1990,3026732
11,6,32,755,1990,9.28
11,6,32,611,1990,0.99
11,6,32,803,1990,0.01
11,6,32,801,1990,0.02
11,6,32,802,1990,0.03
11,6,32,562,1990,24.4
11,6,32,809,1990,0.4
11,6,32,786,1990,2.7
11,6,32,785,1990,3905
11,6,32,553,1990,72
11,6,32,811,1990,64
11,6,32,810,1990,80
11,6,32,780,1990,12000
11,6,32,756,1990,0.04
11,6,32,567,1990,12.7
11,6,32,667,1990,69
11,6,32,665,1990,94
11,6,32,666,1990,98
11,6,32,670,1990,70
11,6,32,668,1990,87
11,6,32,669,1990,90
11,6,32,699,1990,0.31
11,6,32,659,1990,238
11,6,32,660,1990,16
11,6,32,557,1990,6.3
11,6,32,722,1990,37.1
11,6,32,710,1990,30.5
11,6,32,711,1990,8621.6
11,6,32,616,1990,3.25
12,4,51,761,1990,74.6
12,4,51,579,1990,0.0099
12,4,51,798,1990,0.11
12,4,51,570,1990,99.7
12,4,51,561,1990,49.7
12,4,51,648,1990,582
12,4,51,779,1990,560000
12,4,51,755,1990,15.8
12,4,51,562,1990,42.4
12,4,51,553,1990,58
12,4,51,811,1990,51
12,4,51,810,1990,65
12,4,51,567,1990,12.3
12,4,51,666,1990,98
12,4,51,669,1990,95
12,4,51,659,1990,219
12,4,51,660,1990,121
12,4,51,557,1990,35.6
12,4,51,616,1990,7.91
12,5,51,761,1990,74.6
12,5,51,579,1990,0.0099
12,5,51,798,1990,0.11
12,5,51,570,1990,99.7
12,5,51,561,1990,49.7
12,5,51,648,1990,582
12,5,51,779,1990,560000
12,5,51,755,1990,15.8
12,5,51,562,1990,42.4
12,5,51,553,1990,58
12,5,51,811,1990,51
12,5,51,810,1990,65
12,5,51,567,1990,12.3
12,5,51,666,1990,98
12,5,51,669,1990,95
12,5,51,659,1990,219
12,5,51,660,1990,121
12,5,51,557,1990,35.6
12,5,51,616,1990,7.91
12,6,51,761,1990,74.6
12,6,51,579,1990,0.0099
12,6,51,798,1990,0.11
12,6,51,570,1990,99.7
12,6,51,561,1990,49.7
12,6,51,648,1990,582
12,6,51,779,1990,560000
12,6,51,755,1990,15.8
12,6,51,562,1990,42.4
12,6,51,553,1990,58
12,6,51,811,1990,51
12,6,51,810,1990,65
12,6,51,567,1990,12.3
12,6,51,666,1990,98
12,6,51,669,1990,95
12,6,51,659,1990,219
12,6,51,660,1990,121
12,6,51,557,1990,35.6
12,6,51,616,1990,7.91
13,4,533,751,1990,29.6202
13,4,533,749,1990,1840.8
13,4,533,779,1990,18712
13,4,533,755,1990,30.11
13,4,533,667,1990,91
13,4,533,665,1990,91
13,4,533,666,1990,91
13,4,533,670,1990,99
13,4,533,668,1990,99
13,4,533,669,1990,99
13,4,533,616,1990,0.48
13,5,533,751,1990,29.6202
13,5,533,749,1990,1840.8
13,5,533,779,1990,18712
13,5,533,755,1990,30.11
13,5,533,667,1990,91
13,5,533,665,1990,91
13,5,533,666,1990,91
13,5,533,670,1990,99
13,5,533,668,1990,99
13,5,533,669,1990,99
13,5,533,616,1990,0.48
13,6,533,751,1990,29.6202
13,6,533,749,1990,1840.8
13,6,533,779,1990,18712
13,6,533,755,1990,30.11
13,6,533,667,1990,91
13,6,533,665,1990,91
13,6,533,666,1990,91
13,6,533,670,1990,99
13,6,533,668,1990,99
13,6,533,669,1990,99
13,6,533,616,1990,0.48
14,4,36,761,1990,21.4
14,4,36,654,1990,0.45
14,4,36,601,1990,1454.71
14,4,36,579,1990,645
14,4,36,797,1990,451
14,4,36,798,1990,953
14,4,36,788,1990,0.5405
14,4,36,776,1990,0.57
14,4,36,751,1990,15.4325
14,4,36,752,1990,16.2
14,4,36,749,1990,263848
14,4,36,750,1990,276137.6
14,4,36,563,1990,86
14,4,36,561,1990,9.2
14,4,36,753,1990,7434.4
14,4,36,649,1990,7416.4
14,4,36,758,1990,59.3
14,4,36,770,1990,70.5
14,4,36,771,1990,48.5
14,4,36,648,1990,177
14,4,36,779,1990,7786889
14,4,36,755,1990,45.55
14,4,36,611,1990,1
14,4,36,614,1990,1.15
14,4,36,562,1990,7.6
14,4,36,605,1990,0.59
14,4,36,809,1990,5.7
14,4,36,786,1990,26.6
14,4,36,785,1990,420568
14,4,36,553,1990,8
14,4,36,811,1990,7
14,4,36,810,1990,9
14,4,36,780,1990,184943
14,4,36,756,1990,1.08
14,4,36,568,1990,0.34
14,4,36,650,1990,0.06
14,4,36,651,1990,160.29
14,4,36,569,1990,955.18
14,4,36,598,1990,61.11
14,4,36,599,1990,32.8
14,4,36,729,1990,0.14
14,4,36,799,1990,0.1
14,4,36,800,1990,0.2
14,4,36,567,1990,20.1
14,4,36,760,1990,10.3
14,4,36,772,1990,11.6
14,4,36,773,1990,8.5
14,4,36,667,1990,100
14,4,36,665,1990,100
14,4,36,666,1990,100
14,4,36,670,1990,100
14,4,36,668,1990,100
14,4,36,669,1990,100
14,4,36,699,1990,1.38
14,4,36,671,1990,2.5
14,4,36,672,1990,2.6
14,4,36,673,1990,2.5
14,4,36,659,1990,139
14,4,36,660,1990,9
14,4,36,557,1990,6.1
14,4,36,722,1990,43.7
14,4,36,674,1990,43.9
14,4,36,675,1990,41.5
14,4,36,676,1990,47
14,4,36,677,1990,9.4
14,4,36,678,1990,10
14,4,36,679,1990,8.8
14,4,36,616,1990,6.64
14,5,36,761,1990,21.4
14,5,36,654,1990,0.45
14,5,36,601,1990,1454.71
14,5,36,579,1990,645
14,5,36,797,1990,451
14,5,36,798,1990,953
14,5,36,788,1990,0.5405
14,5,36,776,1990,0.57
14,5,36,751,1990,15.4325
14,5,36,752,1990,16.2
14,5,36,749,1990,263848
14,5,36,750,1990,276137.6
14,5,36,563,1990,86
14,5,36,561,1990,9.2
14,5,36,753,1990,7434.4
14,5,36,649,1990,7416.4
14,5,36,758,1990,59.3
14,5,36,770,1990,70.5
14,5,36,771,1990,48.5
14,5,36,648,1990,177
14,5,36,779,1990,7786889
14,5,36,755,1990,45.55
14,5,36,611,1990,1
14,5,36,614,1990,1.15
14,5,36,562,1990,7.6
14,5,36,605,1990,0.59
14,5,36,809,1990,5.7
14,5,36,786,1990,26.6
14,5,36,785,1990,420568
14,5,36,553,1990,8
14,5,36,811,1990,7
14,5,36,810,1990,9
14,5,36,780,1990,184943
14,5,36,756,1990,1.08
14,5,36,568,1990,0.34
14,5,36,650,1990,0.06
14,5,36,651,1990,160.29
14,5,36,569,1990,955.18
14,5,36,598,1990,61.11
14,5,36,599,1990,32.8
14,5,36,729,1990,0.14
14,5,36,799,1990,0.1
14,5,36,800,1990,0.2
14,5,36,567,1990,20.1
14,5,36,760,1990,10.3
14,5,36,772,1990,11.6
14,5,36,773,1990,8.5
14,5,36,667,1990,100
14,5,36,665,1990,100
14,5,36,666,1990,100
14,5,36,670,1990,100
14,5,36,668,1990,100
14,5,36,669,1990,100
14,5,36,699,1990,1.38
14,5,36,671,1990,2.5
14,5,36,672,1990,2.6
14,5,36,673,1990,2.5
14,5,36,659,1990,139
14,5,36,660,1990,9
14,5,36,557,1990,6.1
14,5,36,722,1990,43.7
14,5,36,674,1990,43.9
14,5,36,675,1990,41.5
14,5,36,676,1990,47
14,5,36,677,1990,9.4
14,5,36,678,1990,10
14,5,36,679,1990,8.8
14,5,36,616,1990,6.64
14,6,36,761,1990,21.4
14,6,36,654,1990,0.45
14,6,36,601,1990,1454.71
14,6,36,579,1990,645
14,6,36,797,1990,451
14,6,36,798,1990,953
14,6,36,788,1990,0.5405
14,6,36,776,1990,0.57
14,6,36,751,1990,15.4325
14,6,36,752,1990,16.2
14,6,36,749,1990,263848
14,6,36,750,1990,276137.6
14,6,36,563,1990,86
14,6,36,561,1990,9.2
14,6,36,753,1990,7434.4
14,6,36,649,1990,7416.4
14,6,36,758,1990,59.3
14,6,36,770,1990,70.5
14,6,36,771,1990,48.5
14,6,36,648,1990,177
14,6,36,779,1990,7786889
14,6,36,755,1990,45.55
14,6,36,611,1990,1
14,6,36,614,1990,1.15
14,6,36,562,1990,7.6
14,6,36,605,1990,0.59
14,6,36,809,1990,5.7
14,6,36,786,1990,26.6
14,6,36,785,1990,420568
14,6,36,553,1990,8
14,6,36,811,1990,7
14,6,36,810,1990,9
14,6,36,780,1990,184943
14,6,36,756,1990,1.08
14,6,36,568,1990,0.34
14,6,36,650,1990,0.06
14,6,36,651,1990,160.29
14,6,36,569,1990,955.18
14,6,36,598,1990,61.11
14,6,36,599,1990,32.8
14,6,36,729,1990,0.14
14,6,36,799,1990,0.1
14,6,36,800,1990,0.2
14,6,36,567,1990,20.1
14,6,36,760,1990,10.3
14,6,36,772,1990,11.6
14,6,36,773,1990,8.5
14,6,36,667,1990,100
14,6,36,665,1990,100
14,6,36,666,1990,100
14,6,36,670,1990,100
14,6,36,668,1990,100
14,6,36,669,1990,100
14,6,36,699,1990,1.38
14,6,36,671,1990,2.5
14,6,36,672,1990,2.6
14,6,36,673,1990,2.5
14,6,36,659,1990,139
14,6,36,660,1990,9
14,6,36,557,1990,6.1
14,6,36,722,1990,43.7
14,6,36,674,1990,43.9
14,6,36,675,1990,41.5
14,6,36,676,1990,47
14,6,36,677,1990,9.4
14,6,36,678,1990,10
14,6,36,679,1990,8.8
14,6,36,616,1990,6.64
15,4,40,761,1990,21.3
15,4,40,788,1990,0.2421
15,4,40,776,1990,0.26
15,4,40,751,1990,7.5257
15,4,40,752,1990,8.1
15,4,40,749,1990,57722.2
15,4,40,750,1990,62017.7
15,4,40,563,1990,60
15,4,40,561,1990,9.5
15,4,40,753,1990,2004.4
15,4,40,649,1990,1801.9
15,4,40,758,1990,53.6
15,4,40,770,1990,67.4
15,4,40,771,1990,41.4
15,4,40,648,1990,104
15,4,40,779,1990,3223161
15,4,40,755,1990,42.02
15,4,40,611,1990,1
15,4,40,613,1990,0.91
15,4,40,614,1990,0.88
15,4,40,562,1990,8
15,4,40,605,1990,0.13
15,4,40,553,1990,8
15,4,40,811,1990,7
15,4,40,810,1990,10
15,4,40,780,1990,73698
15,4,40,756,1990,0.96
15,4,40,568,1990,0.11
15,4,40,650,1990,0.06
15,4,40,651,1990,102.07
15,4,40,569,1990,168.06
15,4,40,598,1990,79.4
15,4,40,599,1990,32.1
15,4,40,567,1990,45.8
15,4,40,667,1990,100
15,4,40,665,1990,100
15,4,40,666,1990,100
15,4,40,670,1990,100
15,4,40,668,1990,100
15,4,40,669,1990,100
15,4,40,768,1990,4.9
15,4,40,699,1990,0.94
15,4,40,671,1990,1.2
15,4,40,672,1990,1.3
15,4,40,673,1990,1.1
15,4,40,659,1990,162
15,4,40,660,1990,21
15,4,40,557,1990,11.5
15,4,40,722,1990,41.5
15,4,40,674,1990,24.4
15,4,40,675,1990,24
15,4,40,676,1990,24.9
15,4,40,677,1990,2.4
15,4,40,678,1990,2.5
15,4,40,679,1990,2.3
15,4,40,616,1990,19.18
15,5,40,761,1990,21.3
15,5,40,788,1990,0.2421
15,5,40,776,1990,0.26
15,5,40,751,1990,7.5257
15,5,40,752,1990,8.1
15,5,40,749,1990,57722.2
15,5,40,750,1990,62017.7
15,5,40,563,1990,60
15,5,40,561,1990,9.5
15,5,40,753,1990,2004.4
15,5,40,649,1990,1801.9
15,5,40,758,1990,53.6
15,5,40,770,1990,67.4
15,5,40,771,1990,41.4
15,5,40,648,1990,104
15,5,40,779,1990,3223161
15,5,40,755,1990,42.02
