country_area_id,indicator_id,CountryCode,SeriesCode,year,Indicator_Value
1,1,4,579,1990,15
1,1,4,797,1990,0.6687
1,1,4,798,1990,63
1,1,4,751,1990,0.2282
1,1,4,749,1990,2676.9
1,1,4,561,1990,179.1
1,1,4,779,1990,36200
1,1,4,755,1990,0.31
1,1,4,611,1990,0.55
1,1,4,614,1990,0.49
1,1,4,562,1990,121.3
1,1,4,553,1990,1340
1,1,4,811,1990,878
1,1,4,810,1990,1950
1,1,4,632,1990,121.72
1,1,4,729,1990,0.01
1,1,4,800,1990,0.03
1,1,4,567,1990,2.1
1,1,4,659,1990,182
1,1,4,660,1990,7
1,1,4,557,1990,3.7
1,1,4,616,1990,0.36
1,2,4,579,1990,15
1,2,4,797,1990,0.6687
1,2,4,798,1990,63
1,2,4,751,1990,0.2282
1,2,4,749,1990,2676.9
1,2,4,561,1990,179.1
1,2,4,779,1990,36200
1,2,4,755,1990,0.31
1,2,4,611,1990,0.55
1,2,4,614,1990,0.49
1,2,4,562,1990,121.3
1,2,4,553,1990,1340
1,2,4,811,1990,878
1,2,4,810,1990,1950
1,2,4,632,1990,121.72
1,2,4,729,1990,0.01
1,2,4,800,1990,0.03
1,2,4,567,1990,2.1
1,2,4,659,1990,182
1,2,4,660,1990,7
1,2,4,557,1990,3.7
1,2,4,616,1990,0.36
1,3,4,579,1990,15
1,3,4,797,1990,0.6687
1,3,4,798,1990,63
1,3,4,751,1990,0.2282
1,3,4,749,1990,2676.9
1,3,4,561,1990,179.1
1,3,4,779,1990,36200
1,3,4,755,1990,0.31
1,3,4,611,1990,0.55
1,3,4,614,1990,0.49
1,3,4,562,1990,121.3
1,3,4,553,1990,1340
1,3,4,811,1990,878
1,3,4,810,1990,1950
1,3,4,632,1990,121.72
1,3,4,729,1990,0.01
1,3,4,800,1990,0.03
1,3,4,567,1990,2.1
1,3,4,659,1990,182
1,3,4,660,1990,7
1,3,4,557,1990,3.7
1,3,4,616,1990,0.36
3,1,8,761,1990,13.8
3,1,8,579,1990,0.0193
3,1,8,798,1990,0.0314
3,1,8,788,1990,0.5238
3,1,8,751,1990,2.1724
3,1,8,749,1990,7488
3,1,8,563,1990,88
3,1,8,561,1990,40.5
3,1,8,648,1990,187
3,1,8,779,1990,40000
3,1,8,755,1990,1.16
3,1,8,611,1990,0.97
3,1,8,613,1990,0.91
3,1,8,614,1990,1.11
3,1,8,562,1990,35.1
3,1,8,553,1990,71
3,1,8,811,1990,58
3,1,8,810,1990,88
3,1,8,567,1990,28.8
3,1,8,666,1990,100
3,1,8,670,1990,69
3,1,8,668,1990,78
3,1,8,669,1990,95
3,1,8,768,1990,4
3,1,8,659,1990,178
3,1,8,660,1990,72
3,1,8,557,1990,28.8
3,1,8,616,1990,0.15
3,2,8,761,1990,13.8
3,2,8,579,1990,0.0193
3,2,8,798,1990,0.0314
3,2,8,788,1990,0.5238
3,2,8,751,1990,2.1724
3,2,8,749,1990,7488
3,2,8,563,1990,88
3,2,8,561,1990,40.5
3,2,8,648,1990,187
3,2,8,779,1990,40000
3,2,8,755,1990,1.16
3,2,8,611,1990,0.97
3,2,8,613,1990,0.91
3,2,8,614,1990,1.11
3,2,8,562,1990,35.1
3,2,8,553,1990,71
3,2,8,811,1990,58
3,2,8,810,1990,88
3,2,8,567,1990,28.8
3,2,8,666,1990,100
3,2,8,670,1990,69
3,2,8,668,1990,78
3,2,8,669,1990,95
3,2,8,768,1990,4
3,2,8,659,1990,178
3,2,8,660,1990,72
3,2,8,557,1990,28.8
3,2,8,616,1990,0.15
3,3,8,761,1990,13.8
3,3,8,579,1990,0.0193
3,3,8,798,1990,0.0314
3,3,8,788,1990,0.5238
3,3,8,751,1990,2.1724
3,3,8,749,1990,7488
3,3,8,563,1990,88
3,3,8,561,1990,40.5
3,3,8,648,1990,187
3,3,8,779,1990,40000
3,3,8,755,1990,1.16
3,3,8,611,1990,0.97
3,3,8,613,1990,0.91
3,3,8,614,1990,1.11
3,3,8,562,1990,35.1
3,3,8,553,1990,71
3,3,8,811,1990,58
3,3,8,810,1990,88
3,3,8,567,1990,28.8
3,3,8,666,1990,100
3,3,8,670,1990,69
3,3,8,668,1990,78
3,3,8,669,1990,95
3,3,8,768,1990,4
3,3,8,659,1990,178
3,3,8,660,1990,72
3,3,8,557,1990,28.8
3,3,8,616,1990,0.15
3,4,8,761,1990,13.8
4,1,12,761,1990,23
4,1,12,579,1990,90
4,1,12,797,1990,19
4,1,12,798,1990,313
4,1,12,788,1990,0.2974
4,1,12,751,1990,3.0078
4,1,12,749,1990,78924.8
4,1,12,563,1990,83
4,1,12,561,1990,47.1
4,1,12,655,1990,63.8
4,1,12,648,1990,84
4,1,12,779,1990,812000
4,1,12,755,1990,3.09
4,1,12,611,1990,0.84
4,1,12,613,1990,0.77
4,1,12,802,1990,0.04
4,1,12,562,1990,39.9
4,1,12,786,1990,0.1
4,1,12,785,1990,41
4,1,12,553,1990,216
4,1,12,811,1990,141
4,1,12,810,1990,327
4,1,12,780,1990,470
4,1,12,729,1990,0.02
4,1,12,799,1990,0.01
4,1,12,800,1990,0.15
4,1,12,591,1990,75.6
4,1,12,635,1990,78.9
4,1,12,636,1990,71.8
4,1,12,743,1990,76.7
4,1,12,744,1990,84.2
4,1,12,745,1990,68.8
4,1,12,567,1990,0.7
4,1,12,667,1990,85
